date,trade_return
2021-01-01,0.0011215970245102447
2021-01-04,0.004897107788527388
2021-01-05,-0.0016392235327824002
2021-01-06,-0.01645607915443859
2021-01-07,0.018076341878380805
2021-01-08,-0.005638686840116513
2021-01-11,0.0018463417050090265
2021-01-12,-0.012724894066694865
2021-01-13,-0.024903097818558404
2021-01-14,0.011123068765257878
2021-01-15,-0.003178144865271678
2021-01-18,0.001954228504288877
2021-01-19,-0.03191672445264987
2021-01-20,-0.023557667936897134
2021-01-21,0.028486245762408234
2021-01-22,-0.01187506891931215
2021-01-25,-0.016139173281862124
2021-01-26,0.003284950199995588
2021-01-27,-0.011418608796590898
2021-01-28,-0.005626519016697775
2021-01-29,0.005070609960529512
2021-02-01,0.036073165933969385
2021-02-02,-0.008829655216713675
2021-02-03,0.008243030674832768
2021-02-04,-0.00689448009879069
2021-02-05,0.01636494224288199
2021-02-08,0.0151783204521668
2021-02-09,-0.007518985300200596
2021-02-10,0.013628816069301736
2021-02-11,-0.01229620025689315
2021-02-12,0.0016430202325432193
2021-02-15,0.012649237973991805
2021-02-16,-0.0033583803100587593
2021-02-17,0.006827099492114831
2021-02-18,-0.014341956033066053
2021-02-19,0.0013672737486572443
2021-02-22,0.01768089006462613
2021-02-23,0.033705365175988204
2021-02-24,-0.0011235090793849517
2021-02-25,-0.015260008553704772
2021-02-26,-0.026651202535295782
2021-03-01,-0.02083702893547628
2021-03-02,-0.01585139932025067
2021-03-03,0.0024700903074106727
2021-03-04,-0.010270932091236867
2021-03-05,-0.004056055972610228
2021-03-08,-0.01963911104441936
2021-03-09,-0.014406814417037828
2021-03-10,-0.012113433810372552
2021-03-11,-0.011173606462932556
2021-03-12,-0.007742140412183511
2021-03-15,0.045064443509783655
2021-03-16,0.005375109334928524
2021-03-17,-0.0033994746418103553
2021-03-18,-0.00957365036244014
2021-03-19,-0.0038146892714444585
2021-03-22,0.043116557599300664
2021-03-23,0.016923766348645036
2021-03-24,0.007584998773042025
2021-03-25,0.02599207636911139
2021-03-26,0.004914881889596627
2021-03-29,0.005229190717858215
2021-03-30,-0.004003155528580939
2021-03-31,-0.008310354175446276
2021-04-01,-0.004233101462509357
2021-04-02,-0.01800042567139287
2021-04-05,-0.027074809919707628
